ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
20,Matiullah Jan,DAWN,Dawn,Balochistan,Lahore,Terrorism,Women cricket team sets new record,,5 million,285.0,,,,182122.0,4535889.417,1,0.0,2021-08-02,urdu,,1860.0
21,Umar Cheema,Geo,Dawn,Islamabad,Multan,Economy,Attack on Army convoy in Waziristan,,4592649,,,,46.74535753,,2050589.888,1,0.0,2022-12-24,,Neutral,12070.0
22,K. Khan,ary,The News,Balochistan,Islamabad,Sports,Exports see slight recovery,,2 crore,497.0,0.2959264266,,,177709.0,,1,0.0,2025-10-10,,Neutral,1117.0
23,Matiullah Jan,DawnNews,The News,AJK,Lahore,Crime,Five soldiers martyred in ambush,22.14294612,10 lakh,48.0,-0.2664528587,1.0,35.89985691,,,1,,2023-04-25,English,Neutral,
24,shahzeb khanzada,Geo,The News,AJK,Rawalpindi,Economy,Five soldiers martyred in ambush,,2 crore,33.0,0.8638933758,2.0,,195322.0,50 lakh,,1.0,2021-06-25,ENG,Opposition,26639.0
25,Ansar Abbasi,GEO NEWS,Nawa-i-Waqt,AJK,Quetta,Health,Supreme Court issues notice on corruption case,83.45650998,,294.0,0.5140242391,,,,,,1.0,2019-11-24,,,
26,Mohsin Raza Khan,geo,The News,Islamabad,Peshawar,Politics,Pakistan faces defeat in hockey series,112.356601,10 lakh,,-0.1344199859,0.0,23.37949008,,2775615.446,Yes,,2025-02-02,urdu,,
27,Ansar Abbasi,ARYNEWS,The News,Islamabad,Quetta,Politics,PPP vs PMLN war of words heats up,103.4841719,,219.0,,5.0,,78597.0,1779782.995,No,0.0,2021-08-26,ENG,,4083.0
28,K. Khan,HUM News,Nawa-i-Waqt,KPK,Hyderabad,Economy,Flood relief funds under scrutiny,,10 lakh,160.0,-1.344133581,,1043841.0,,,1,1.0,2018-12-07,Urdu,Neutral,
29,shahzeb khanzada,ary,The News,Punjab,Karachi,Politics,Health crisis follows floods,88.28560847,10 lakh,,1.965456041,,1971314.0,,1 crore,1,1.0,2024-02-09,English,Pro-Govt,4106.0
30,Kamran Khan,ARY News,Nawa-i-Waqt,Sindh,Hyderabad,Politics,Election rigging scandal unfolds in Lahore,2.233879752,2 crore,175.0,-1.148517143,3.0,43.0386621,,,1,1.0,2023-02-21,Urdu,Opposition,7312.0
31,Saleem Safi,HUM News,Jang,Islamabad,Multan,Crime,Dengue cases rising in Lahore hospitals,,10 lakh,,-0.8043752763,5.0,,67612.0,,1,1.0,2025-01-06,urdu,Opposition,
32,RAUF KLASSRA,Express,Express Tribune,Sindh,Multan,Media,Exports see slight recovery,,,130.0,1.11956325,5.0,44.00103605,,2694329.795,Yes,0.0,2022-03-14,ENG,,
33,Kamran Shahid,Express-News,Daily Pakistan,Balochistan,Peshawar,Media,Chief Justice orders suo moto on Karachi violence,3.045681607,3715541,,0.2638459947,4.0,,,1 crore,1,1.0,2019-01-22,Urdu,Pro-Govt,29698.0
34,shahzeb khanzada,DAWN,Nawa-i-Waqt,Punjab,Karachi,Economy,Budget deficit reaches record high,,4607917,,-0.4764006576,,31.68400958,88527.0,1 crore,0,0.0,2018-08-04,urdu,,48307.0
35,Asma Shirazi,Geo,Jang,Sindh,Lahore,Politics,Health workers go on strike in Punjab,,5 million,101.0,0.8508295222,3.0,43.37156131,,1 crore,0,,2025-12-13,ENG,Pro-Govt,6845.0
36,Dr. Shahid Masood,AbbTakk News,Daily Pakistan,Punjab,Karachi,Terrorism,Bomb blast near Karachi market,,,,-1.174308916,5.0,,118241.0,50 lakh,,0.0,2023-05-24,English,Opposition,6654.0
37,Talat Hussain,Geo,Nawa-i-Waqt,Islamabad,Karachi,Judiciary,Hockey team faces funding crisis,,5 million,151.0,,3.0,8.553213592,137745.0,,,,2021-03-27,,Neutral,
38,Umar Cheema,AbbTakk News,Dawn,Sindh,Peshawar,Sports,Punjab launches scholarship scheme,-0.07231883884,10 lakh,,1.552741208,3.0,3.239713925,,,0,1.0,2021-12-08,,Neutral,
39,Rauf Klasra,Samaa,Nawa-i-Waqt,Islamabad,Rawalpindi,Health,IMF deal finalised today,,8660112,,,3.0,,124737.0,649737.2569,0,1.0,2020-03-21,urdu,Opposition,4240.0
40,Owais Tohid,HUM News,Dawn,Punjab,Islamabad,Terrorism,Bomb blast near Karachi market,,17105775,,,-1.0,48.49927644,,50 lakh,Yes,,2021-09-06,,,26427.0
41,Ansar Abbasi,SAMAA TV,Nawa-i-Waqt,Islamabad,Karachi,Crime,Senate passes constitutional amendment,,2 crore,160.0,-0.9517626575,0.0,1132015.0,116825.0,,0,,2021-11-17,,Neutral,43052.0
42,K. Khan,HUM News,Daily Pakistan,AJK,Lahore,Media,Punjab launches scholarship scheme,4.094381277,18782097,,-0.69905055,,,,1046743.078,Yes,,2021-03-12,English,,31468.0
43,Owais Tohid,Geo,The News,Islamabad,Quetta,Health,Curriculum reforms announced,,,,,5.0,1815317.0,,1995266.471,0,0.0,2021-07-19,,Neutral,
44,Asma Shirazi,Geo,Nawa-i-Waqt,Islamabad,Quetta,Economy,Hockey team faces funding crisis,9.800372589,10 lakh,330.0,,,1329819.0,44801.0,4430479.859,,1.0,2018-02-27,,Pro-Govt,
45,Rauf Klasra,hum news,Jang,Balochistan,Quetta,Politics,News anchor resigns citing threats,,10 lakh,149.0,0.8038024018,,20.82803379,115709.0,1 crore,0,,2024-07-08,Urdu,Neutral,
46,Umar Cheema,Express-News,Nawa-i-Waqt,Sindh,Rawalpindi,Politics,Villages submerged in southern Punjab,66.12470446,,202.0,,1.0,4.540836125,,50 lakh,0,0.0,2023-05-04,urdu,Opposition,
47,Najam Sethi,SAMAA TV,Daily Pakistan,AJK,Quetta,Economy,PM announces new economic reforms,19.78534726,5 million,,,,18.41738907,,3743828.005,,0.0,2018-12-21,urdu,Neutral,24924.0
48,Najam Sethi,DawnNews,Express Tribune,Islamabad,Peshawar,Education,Trade deficit widens again,,2 crore,,,1.0,119999.0,,1 crore,0,,2018-03-14,urdu,Pro-Govt,4528.0
49,Mohsin Raza Khan,ary,The News,Sindh,Islamabad,Judiciary,PM announces new economic reforms,98.94008014,,93.0,,-1.0,136222.0,69699.0,50 lakh,,1.0,2023-10-24,urdu,Neutral,
50,Rauf Klasra,GEO NEWS,Express Tribune,Balochistan,Hyderabad,Sports,Budget deficit reaches record high,0.05457336439,5 million,-22.0,,,5.048626674,124892.0,50 lakh,No,1.0,2022-06-28,Urdu,Neutral,
51,Nusrat Javed,ARYNEWS,The News,Islamabad,Karachi,Judiciary,Cabinet approves controversial media law,-1.651405824,2 crore,409.0,,5.0,48.11842986,,1932042.325,No,0.0,2020-10-14,ENG,Pro-Govt,
52,Nusrat Javed,ARYNEWS,Daily Pakistan,AJK,Karachi,Education,Exports see slight recovery,37.23377735,10 lakh,,,0.0,,71305.0,,No,1.0,2023-03-21,urdu,Opposition,
53,Owais Tohid,ary,Dawn,AJK,Karachi,Politics,Education ministry faces criticism,,10 lakh,470.0,-1.584900262,,902654.0,30115.0,311644.1383,Yes,1.0,2023-08-01,ENG,Opposition,35693.0
54,Dr. Shahid Masood,hum news,Jang,Punjab,Multan,Health,Dawn faces backlash over editorial,,10 lakh,469.0,0.7068342619,3.0,302800.0,,50 lakh,No,1.0,2025-01-12,English,Opposition,5124.0
55,Dr. Shahid Masood,hum news,Daily Pakistan,Punjab,Peshawar,Education,Mental health awareness campaign launched,0.9964727595,15686032,,-1.934714038,0.0,,166713.0,50 lakh,Yes,0.0,2025-04-04,urdu,Opposition,26503.0
56,Mohsin Raza Khan,geo,Jang,Sindh,Multan,Economy,Supreme Court issues notice on corruption case,99.6800772,10 lakh,,1.503587231,-1.0,,,1 crore,Yes,,2020-08-28,urdu,Pro-Govt,16119.0
57,Saleem Safi,Express-News,Express Tribune,Islamabad,Multan,Media,IMF deal finalised today,,5 million,175.0,0.9020161641,-1.0,213778.0,,4492428.434,0,1.0,2025-06-22,ENG,Neutral,35012.0
58,Dr. Shahid Masood,HUM News,Daily Pakistan,AJK,Quetta,Crime,Karachi drainage system collapses,26.67847587,2 crore,,0.451161345,1.0,,,1 crore,0,0.0,2022-09-09,,,
59,Mohsin Raza Khan,Express-News,Daily Pakistan,Balochistan,Karachi,Politics,Teachers boycott classes in KP,66.47051232,5 million,,,,,54564.0,1 crore,,1.0,2020-08-28,urdu,Neutral,24959.0
60,Shahzeb Khanzada,ARY,Jang,AJK,Lahore,Health,Cabinet approves controversial media law,87.21112889,10 lakh,,,2.0,254801.0,39365.0,50 lakh,No,,2023-09-11,urdu,Opposition,32213.0
61,RAUF KLASSRA,SAMAA TV,Jang,Sindh,Islamabad,Judiciary,Chief Justice orders suo moto on Karachi violence,,3008422,147.0,,2.0,,98496.0,3018827.233,No,,2019-04-27,Urdu,Pro-Govt,40352.0
62,Matiullah Jan,HUM News,Dawn,KPK,Lahore,Media,Revenue from tax declines drastically,17.98724661,2 crore,,-1.116102753,1.0,1378813.0,110882.0,,0,0.0,2025-01-12,,Neutral,47531.0
63,Saleem Safi,DAWN,Nawa-i-Waqt,Punjab,Karachi,Crime,Election rigging scandal unfolds in Lahore,45.24796609,,155.0,0.05971328632,,,28660.0,1 crore,0,0.0,2024-02-09,ENG,Opposition,10640.0
64,Saleem Safi,ARY News,Jang,AJK,Hyderabad,Media,Villages submerged in southern Punjab,20.61679324,10 lakh,,-0.4877864094,2.0,47.99987674,120135.0,3545173.472,Yes,,2024-06-12,Urdu,Neutral,39201.0
65,Mohsin Raza Khan,ARYNEWS,Jang,Balochistan,Islamabad,Politics,Court orders release of missing persons,,,68.0,0.5004913883,0.0,11.83856063,57394.0,,No,0.0,2018-01-04,Urdu,Neutral,
66,Mohsin Raza Khan,Samaa,Daily Pakistan,Sindh,Rawalpindi,Sports,PEMRA issues warning to multiple channels,37.39029519,,75.0,,,33.92136857,,239086.4151,Yes,0.0,2024-03-10,ENG,Opposition,7469.0
67,Shahzeb Khanzada,Express-News,Daily Pakistan,Punjab,Multan,Education,Security forces foil major terror bid,84.28339237,2 crore,310.0,0.6582008754,3.0,31.03874103,194926.0,,No,1.0,2025-11-16,Urdu,Neutral,
68,K. Khan,Geo,Express Tribune,KPK,Islamabad,Crime,HEC budget slashed again,,1965505,,1.617975143,4.0,35.10428687,29889.0,50 lakh,Yes,0.0,2021-10-17,ENG,Opposition,
69,RAUF KLASSRA,ARY News,Dawn,Punjab,Quetta,Terrorism,Chief Justice orders suo moto on Karachi violence,25.8276565,5 million,113.0,,3.0,1946925.0,,,No,1.0,2023-08-03,urdu,Neutral,39412.0
70,Owais Tohid,DAWN,Nawa-i-Waqt,KPK,Rawalpindi,Crime,Election rigging scandal unfolds in Lahore,14.04576476,2 crore,,,1.0,1420016.0,,,,1.0,2018-02-27,ENG,Neutral,28508.0
71,Nusrat Javed,ARY,The News,Islamabad,Peshawar,Economy,HEC budget slashed again,60.73928833,2 crore,,1.44677388,0.0,727749.0,,50 lakh,Yes,,2020-10-10,Urdu,Neutral,22669.0
72,Mohsin Raza Khan,SAMAA TV,Jang,AJK,Peshawar,Politics,Revenue from tax declines drastically,32.55302989,5 million,,,-1.0,,112378.0,50 lakh,0,1.0,2020-08-28,Urdu,,
73,Shahzeb Khanzada,HUM News,Nawa-i-Waqt,Islamabad,Quetta,Health,Army chief meets PM over political crisis,33.21570831,,,,3.0,580710.0,126596.0,1 crore,No,1.0,2020-12-01,English,,
74,Matiullah Jan,Express-News,Jang,Islamabad,Hyderabad,Education,Babar Azam century wins the game,,2 crore,,-1.661063222,,1988889.0,,1 crore,No,1.0,2018-11-28,English,,39520.0
75,Dr. Shahid Masood,ARY,Express Tribune,AJK,Peshawar,Crime,Journalists protest censorship in Islamabad,93.17796184,5 million,,-1.184778124,2.0,28.47371079,,1 crore,0,0.0,2025-08-17,urdu,,
76,Kamran Khan,DAWN,Nawa-i-Waqt,Punjab,Lahore,Politics,Government to increase petrol price by Rs. 20,,15479399,380.0,1.167382258,,25.38499908,,50 lakh,Yes,,2018-06-27,urdu,Opposition,
77,K. Khan,ARY,Daily Pakistan,Islamabad,Karachi,Judiciary,Counter-terrorism department arrests suspects,74.25988155,5 million,108.0,,2.0,,,1 crore,No,0.0,2024-01-24,urdu,Pro-Govt,45068.0
78,Rauf Klasra,GEO NEWS,Jang,Balochistan,Islamabad,Education,Quetta blast: ISPR releases statement,,2 crore,196.0,0.1402590955,-1.0,191130.0,158809.0,,No,1.0,2019-07-15,,Opposition,19455.0
79,Mohsin Raza Khan,ARY News,Express Tribune,Sindh,Quetta,Sports,Bomb blast near Karachi market,,,,,5.0,27.51086222,,50 lakh,0,1.0,2025-03-23,English,Opposition,
80,Dr. Shahid Masood,GEO NEWS,Nawa-i-Waqt,AJK,Rawalpindi,Politics,PEMRA issues warning to multiple channels,,5 million,106.0,-0.4035969278,,42.407015,,2611462.346,Yes,0.0,2020-02-23,urdu,Opposition,16826.0
81,Mohsin Raza Khan,HUM News,Jang,Balochistan,Quetta,Education,Flood relief funds under scrutiny,107.1951552,,,-1.904478622,2.0,1989903.0,187359.0,50 lakh,,0.0,2019-03-08,Urdu,Neutral,24481.0
82,Asma Shirazi,geo,The News,KPK,Peshawar,Media,Security forces foil major terror bid,,10 lakh,356.0,,,23.56236231,,,1,,2018-03-23,,,10030.0
83,shahzeb khanzada,AbbTakk News,Jang,KPK,Lahore,Judiciary,Pakistan faces defeat in hockey series,38.11271022,10 lakh,354.0,,-1.0,,,2358895.762,,1.0,2018-10-24,English,Neutral,
84,Nusrat Javed,ARY News,Dawn,Balochistan,Lahore,Sports,NDMA warns of heavy rains in Punjab,,2 crore,,-0.7766530154,5.0,7.862760807,149602.0,50 lakh,1,1.0,2018-03-06,English,,
85,Ansar Abbasi,GEO NEWS,Daily Pakistan,KPK,Lahore,Sports,Pakistan seeks investment from Gulf countries,,7447644,,-0.02904469423,,31.13345768,,,No,,2025-03-07,Urdu,Pro-Govt,18073.0
86,Kamran Khan,GEO NEWS,The News,Islamabad,Lahore,Media,New talent emerges in under-19 cricket,10.89871793,5 million,,-0.5513887175,,10468.0,,50 lakh,0,0.0,2019-06-11,,Opposition,49471.0
87,Dr. Shahid Masood,ARY,Daily Pakistan,Sindh,Hyderabad,Politics,Dawn faces backlash over editorial,12.01367814,18086730,171.0,,5.0,,88078.0,50 lakh,0,1.0,2025-07-03,urdu,Neutral,
88,Owais Tohid,Express,The News,Islamabad,Multan,Crime,Journalists protest censorship in Islamabad,21.48089969,,,0.5598558984,,10.6416209,,3409907.49,Yes,1.0,2020-06-19,ENG,,43004.0
89,Dr. Shahid Masood,ary,Dawn,AJK,Rawalpindi,Crime,Hospitals face medicine shortages,,2 crore,227.0,,,61910.0,162305.0,1 crore,Yes,1.0,2020-07-01,,,
90,Kamran Shahid,HUM News,Dawn,Balochistan,Quetta,Sports,PPP vs PMLN war of words heats up,,2 crore,258.0,,,272694.0,176042.0,,No,,2021-01-25,urdu,Neutral,589.0
91,Asma Shirazi,Express,Nawa-i-Waqt,AJK,Peshawar,Judiciary,IMF deal finalised today,103.2099531,5 million,,1.652815303,,47.82101019,29545.0,50 lakh,0,1.0,2024-08-19,,,
92,Shahzeb Khanzada,geo,Jang,Balochistan,Multan,Health,Teachers boycott classes in KP,,306447,247.0,,,,,655924.9351,Yes,,2023-08-11,Urdu,,
93,Saleem Safi,SAMAA TV,Dawn,Sindh,Karachi,Judiciary,Court orders release of missing persons,118.6619086,9902954,,0.8100762447,,631154.0,183027.0,,0,1.0,2022-09-17,Urdu,,
94,Rauf Klasra,GEO NEWS,Express Tribune,Punjab,Rawalpindi,Judiciary,Government launches CPEC project in Gwadar,82.34861026,2 crore,,-0.7713861018,,1769279.0,102880.0,1 crore,0,,2019-12-07,,Pro-Govt,
95,Asma Shirazi,Geo,Nawa-i-Waqt,AJK,Lahore,Sports,Election rigging scandal unfolds in Lahore,,10 lakh,,,,390634.0,,,Yes,,2025-05-21,urdu,Neutral,
96,Ansar Abbasi,ARY News,Express Tribune,KPK,Lahore,Education,Floods devastate Sindh villages,65.2412767,9010307,,,2.0,3.638504997,,50 lakh,Yes,1.0,2019-02-05,urdu,Pro-Govt,
97,Ansar Abbasi,DAWN,Dawn,AJK,Multan,Health,Government to increase petrol price by Rs. 20,48.42382465,2 crore,211.0,0.4818464374,,547770.0,,,0,1.0,2019-05-07,,Pro-Govt,1383.0
98,Kamran Khan,GEO NEWS,Jang,Balochistan,Karachi,Education,Khan addresses rally in Multan,,15734003,,1.879574629,-1.0,35.0750884,,50 lakh,No,,2021-02-17,ENG,Neutral,1596.0
99,K. Khan,Express,Dawn,Punjab,Multan,Crime,New talent emerges in under-19 cricket,-1.29782207,2 crore,,-0.7967571484,-1.0,1157695.0,174927.0,,Yes,1.0,2018-11-18,,Neutral,
100,Mohsin Raza Khan,ARY,Dawn,Balochistan,Islamabad,Health,Court orders release of missing persons,,,179.0,,,39.5939975,,,0,1.0,2021-12-13,Urdu,,11513.0
101,Kamran Shahid,ary,Nawa-i-Waqt,Islamabad,Quetta,Health,Exports see slight recovery,114.6930963,10 lakh,408.0,,1.0,494534.0,151123.0,3407934.71,,,2022-08-07,Urdu,Pro-Govt,28693.0
102,Saleem Safi,Samaa,Daily Pakistan,Punjab,Rawalpindi,Media,Khan addresses rally in Multan,,5 million,168.0,,2.0,1033869.0,,,0,0.0,2023-03-24,Urdu,Neutral,
103,Dr. Shahid Masood,AbbTakk News,Nawa-i-Waqt,Islamabad,Karachi,Politics,Student unions demand restoration,48.82271435,3049104,372.0,,1.0,39.03791046,,3900533.787,0,1.0,2025-02-08,English,,32363.0
104,Kamran Khan,HUM News,Nawa-i-Waqt,Balochistan,Multan,Terrorism,Election rigging scandal unfolds in Lahore,,10 lakh,,-1.024232934,,884507.0,,1407934.802,,,2022-06-18,,Opposition,15210.0
105,Saleem Safi,SAMAA TV,Daily Pakistan,AJK,Lahore,Health,New talent emerges in under-19 cricket,33.10420943,3271461,,-0.5437034343,3.0,24.60478836,171056.0,3009744.238,1,,2023-07-14,English,,
106,Owais Tohid,AbbTakk News,Nawa-i-Waqt,Punjab,Karachi,Politics,Karachi drainage system collapses,84.31481087,14898287,307.0,,4.0,,,2931202.043,No,0.0,2018-03-11,English,,27378.0
107,Umar Cheema,ARYNEWS,The News,Sindh,Rawalpindi,Media,"Judiciary under pressure, say analysts",108.1575991,2 crore,272.0,-1.813284793,2.0,48.1197317,,3267141.119,0,,2019-08-18,urdu,Neutral,28438.0
108,Talat Hussain,HUM News,Daily Pakistan,KPK,Lahore,Politics,Thousands displaced due to rains,67.2092953,11099814,-5.0,,,10.15112731,,,,1.0,2025-11-11,,Pro-Govt,
109,Matiullah Jan,Express-News,The News,KPK,Quetta,Terrorism,CJ addresses bar association,85.47855923,5 million,411.0,-0.4484673233,,,,50 lakh,No,,2023-06-18,,Neutral,
110,Ansar Abbasi,Express,Dawn,Sindh,Hyderabad,Terrorism,Attack on Army convoy in Waziristan,,12856908,,1.236390757,,,,1 crore,No,0.0,2023-04-14,Urdu,,
111,Shahzeb Khanzada,DawnNews,Nawa-i-Waqt,KPK,Multan,Judiciary,Five soldiers martyred in ambush,,,,-0.5900940982,5.0,688647.0,138023.0,1 crore,1,1.0,2024-01-03,ENG,Neutral,570.0
112,Mohsin Raza,DawnNews,Daily Pakistan,Punjab,Quetta,Terrorism,Curriculum reforms announced,,2 crore,,,0.0,1217751.0,,50 lakh,Yes,0.0,2019-04-20,English,Neutral,
113,shahzeb khanzada,hum news,The News,Sindh,Peshawar,Politics,Security forces foil major terror bid,,2 crore,,,4.0,16.05604162,58091.0,1 crore,Yes,,2019-11-03,urdu,Pro-Govt,
114,RAUF KLASSRA,HUM News,Dawn,Islamabad,Peshawar,Terrorism,"Media freedom at risk, says HRCP report",10.09787038,,97.0,,,,,50 lakh,0,1.0,2023-03-26,ENG,Neutral,48849.0
115,K. Khan,geo,The News,AJK,Islamabad,Judiciary,Curriculum reforms announced,17.54157575,2 crore,,,,394329.0,,,No,1.0,2025-01-19,,Neutral,
116,K. Khan,geo,Dawn,Sindh,Hyderabad,Politics,University students protest fee hikes,28.27919416,,,,0.0,44.88040452,85993.0,2144891.652,1,0.0,2024-07-19,Urdu,Neutral,
117,Dr. Shahid Masood,AbbTakk News,Dawn,AJK,Islamabad,Judiciary,Dollar hits 300 in open market,,5 million,,-0.07204049202,5.0,24.4612511,,,Yes,,2023-11-24,Urdu,Opposition,
118,Dr. Shahid Masood,ARY News,Express Tribune,Punjab,Hyderabad,Economy,Women cricket team sets new record,73.7663237,10 lakh,85.0,1.090295472,0.0,540460.0,52655.0,,No,0.0,2018-08-13,English,Pro-Govt,10970.0
119,Kamran Shahid,hum news,Jang,Islamabad,Lahore,Media,Aid for Balochistan still missing,,,105.0,-0.5269140326,3.0,40.01144624,19812.0,50 lakh,No,,2023-08-07,ENG,Pro-Govt,44502.0
120,Ansar Abbasi,DawnNews,Dawn,KPK,Multan,Judiciary,Case adjourned till next week,,15817169,,-1.811641464,4.0,,179109.0,1 crore,No,0.0,2025-09-14,English,Opposition,
121,Najam Sethi,ARYNEWS,Daily Pakistan,Balochistan,Multan,Crime,Dengue cases rising in Lahore hospitals,,2 crore,48.0,,,26.34711133,5049.0,50 lakh,0,0.0,2019-03-18,ENG,Neutral,49068.0
122,Asma Shirazi,ARY,Daily Pakistan,Sindh,Peshawar,Politics,Lawyers boycott proceedings,,10 lakh,,0.4558481381,,27.03275755,,50 lakh,,1.0,2022-04-15,,Pro-Govt,
123,Najam Sethi,ary,Jang,Punjab,Peshawar,Sports,Security forces foil major terror bid,8.780213971,10278494,,1.300163981,,1219913.0,115285.0,,1,,2019-07-28,English,,
124,Owais Tohid,DawnNews,Jang,Balochistan,Islamabad,Terrorism,Cricket team departs for World Cup,,18162390,3.0,,,643683.0,,3166202.538,0,1.0,2019-06-05,ENG,Pro-Govt,47550.0
125,Matiullah Jan,ARYNEWS,Jang,Punjab,Lahore,Terrorism,Villages submerged in southern Punjab,100.0074531,5 million,,0.159707327,4.0,,84017.0,1 crore,1,1.0,2021-11-13,,Opposition,30569.0
126,Najam Sethi,Geo,Dawn,Sindh,Lahore,Media,New universities to be established,66.58884012,,164.0,0.9421167563,,,,1 crore,,,2021-10-03,ENG,,9864.0
127,K. Khan,hum news,Daily Pakistan,AJK,Islamabad,Judiciary,Journalists protest censorship in Islamabad,95.67826899,2 crore,-17.0,-0.02488686764,,1068230.0,,,No,1.0,2019-10-24,English,Pro-Govt,908.0
128,Kamran Shahid,Geo,Jang,AJK,Islamabad,Media,Stock exchange crashes amid crisis,93.33486759,2 crore,,-0.08411327204,1.0,6.789644459,154847.0,1 crore,,,2023-11-03,,Opposition,
129,Najam Sethi,AbbTakk News,Express Tribune,Balochistan,Lahore,Economy,Karachi drainage system collapses,116.410069,2 crore,329.0,0.427212959,4.0,,116467.0,1 crore,Yes,0.0,2023-08-11,urdu,,
130,Dr. Shahid Masood,DAWN,Express Tribune,Islamabad,Hyderabad,Judiciary,Climate change worsening floods,22.91397229,2 crore,,-1.192439984,,890591.0,,,1,1.0,2025-10-27,urdu,,2580.0
